ID,duration,views,appreciations,comments,ownerDuration,ownerFollowers,ownerViews,ownerAppreciations,R,G,B,alt,V
302,1342,313,15,0,1580,48,2183,66,192,209,133,453,224.03339999999997
341,1266,286,12,0,1715,49,2277,111,241,43,52,512,230.0752
123,333,544,77,5,1913,79,4386,267,209,65,151,524,296.244
288,1530,199,17,0,1747,20,1153,52,208,106,50,531,201.0691
409,1708,211,9,1,1778,52,2235,146,218,108,30,531,252.0055
442,1207,359,8,0,2356,119,22191,596,209,137,29,531,864.058
107,866,707,92,2,1862,176,7388,466,222,124,50,531,441.58860000000004
100,2109,1608,97,1,2817,206,7266,329,207,124,46,531,582.8403
551,673,93,6,1,1714,21,981,47,207,192,123,543,144.7081
260,210,165,22,0,270,45,1214,150,224,200,121,543,85.76129999999999
185,357,689,39,4,1257,47,1636,136,231,200,122,543,179.55849999999998
448,2484,1010,8,0,2979,52,2899,91,206,150,120,543,398.95090000000005
18,2074,5817,640,30,2581,974,24823,1649,226,151,122,543,1604.2393000000002
764,481,54,3,0,514,20,763,39,204,205,207,555,75.3453
454,381,94,8,2,1316,51,2732,119,208,210,216,555,172.8728
689,289,107,4,0,735,17,1683,74,229,229,229,555,106.59209999999999
478,1470,156,7,0,2591,22,1680,130,224,224,222,555,249.99509999999998
531,1399,167,6,0,1399,9,759,33,230,221,213,555,162.5213
600,2483,189,5,0,2904,19,2306,36,228,217,214,555,324.3928
177,336,209,42,3,1920,118,5068,606,236,239,239,555,320.1509
265,291,210,21,3,1656,38,2761,125,217,216,216,555,191.9042
241,1733,248,24,0,2254,96,3041,179,224,223,223,555,307.4407
385,1567,250,10,2,2498,141,11729,363,212,212,212,555,571.9172
231,1569,266,25,2,1987,59,3169,326,212,216,213,555,301.56109999999995
257,1397,327,22,0,1972,1092,31381,2687,206,205,206,555,1384.2397
280,1260,330,18,1,1355,30,1217,75,208,205,210,555,184.1832
233,1157,337,25,0,1555,41,1399,101,221,221,221,555,197.00449999999998
428,2368,418,9,0,2470,25,4835,66,216,218,222,555,388.6843
145,273,487,60,2,1125,724,16120,1838,219,219,219,555,774.9878000000001
173,1198,633,43,1,2424,628,14690,1399,203,203,203,555,794.2275000000001
134,401,650,68,3,2599,492,14981,947,217,214,214,555,727.2145
121,1399,689,77,2,1399,16,689,77,225,225,225,555,208.4932
226,1946,726,26,0,1946,88,5147,201,240,240,231,555,392.7576
150,2381,785,53,1,2396,114,4449,135,232,230,230,555,419.67379999999997
114,460,786,83,3,1224,1446,39603,2708,233,233,234,555,1616.8360999999998
122,867,874,77,3,2032,808,27029,2487,229,230,231,555,1234.7016
93,679,877,113,8,1999,649,16459,1424,225,226,226,555,835.2229
155,2054,884,51,0,2656,201,4223,190,241,241,241,555,426.2555
58,140,1276,207,7,2440,445,10364,1239,217,217,213,555,658.7796000000001
91,2609,1325,114,5,2621,104,1325,114,218,218,220,555,393.24190000000004
89,295,1645,120,0,1710,1306,45319,3492,209,208,211,555,1890.6032999999998
31,1085,1683,357,1,1998,579,40377,7756,220,220,229,555,2105.8355
43,1607,3023,284,8,1608,160,6363,525,235,228,220,555,611.2083
19,1896,8110,618,3,1897,946,32279,2591,243,242,243,555,1961.0127999999997
7,411,8848,1144,46,1848,1521,40113,4179,217,224,224,555,2452.3197999999998
5,1970,18373,1259,28,2254,2516,65290,4929,209,216,220,555,3971.06
