ID,duration,views,appreciations,comments,ownerDuration,ownerFollowers,ownerViews,ownerAppreciations,R,G,B,alt
756,685,65,3,1,906,17,944,35,46,46,45,111
449,806,88,8,1,808,10,379,26,37,37,33,111
763,393,89,3,0,2462,241,10501,575,42,41,43,111
493,756,101,7,1,1533,22,1076,37,43,41,40,111
426,609,111,9,0,628,25,1369,71,33,33,33,111
633,1714,112,4,0,1734,23,2335,145,30,33,36,111
530,1411,146,6,0,2603,56,6876,171,26,27,29,111
360,1130,159,11,0,2077,100,3280,211,42,41,40,111
238,126,257,25,2,144,74,2538,173,45,44,49,111
290,873,258,17,0,1380,28,631,45,33,33,34,111
482,1185,272,7,0,1458,33,683,28,49,48,46,111
284,377,274,18,0,1376,10,307,19,24,25,26,111
367,2419,301,11,0,2598,27,1243,55,38,45,47,111
277,1578,548,18,0,1714,1358,92430,3327,20,19,19,111
166,1477,578,45,2,2196,57,4580,150,39,41,39,111
198,1606,625,33,0,1630,52,2905,143,35,45,45,111
405,2073,654,9,0,2079,41,3823,77,45,42,38,111
95,596,754,108,2,2338,619,17198,1201,36,36,36,111
154,483,1000,52,1,504,2783,140721,12021,34,37,31,111
129,788,1027,72,5,2212,313,13296,877,20,19,35,111
333,1979,1032,12,3,2008,165,14121,480,39,39,39,111
117,2021,1170,80,2,2222,187,5363,338,35,37,43,111
142,1887,1824,63,4,2068,76,2898,110,24,23,24,111
92,920,1988,114,3,1521,1240,32192,2429,43,43,43,111
40,370,2087,298,11,1006,192,4041,441,36,37,37,111
74,2137,2109,139,11,2432,739,15042,1327,20,18,18,111
52,639,2573,236,5,2061,1223,41498,2651,44,46,47,111
149,2663,2974,54,3,3031,671,73420,2603,44,45,35,111
27,634,6129,421,14,2061,1223,41498,2651,36,39,40,111
20,2125,6666,587,18,2125,1675,97787,5607,42,44,44,111
8,836,8036,1123,53,1428,2205,53924,4688,30,33,40,111
6,875,11886,1224,78,2372,4005,134419,10778,22,24,22,111
2,1004,21869,2176,50,1605,1285,31640,3120,41,41,41,111
412,1657,148,9,1,2096,20,1053,102,28,65,113,123
515,1729,160,6,1,2849,14,2304,66,46,61,113,123
374,2023,216,10,0,2023,107,4439,273,49,60,115,123
352,1815,232,11,0,2430,156,11057,522,29,73,118,123
211,1602,449,30,2,1603,100,13544,1020,50,81,101,123
350,2151,458,11,0,2152,7,505,11,29,51,116,123
146,1980,518,56,1,2272,367,6960,953,50,98,150,123
507,2099,615,6,0,2391,19,1922,27,50,91,137,123
595,940,78,5,1,1515,10,814,74,47,150,226,135
