ID,projectID,projectName,duration,field,views,appreciations,comments,pic,color,ownerID,ownerName,ownerDuration,ownerFollowings,ownerFollowers,ownerViews,ownerAppreciations,ownerComments
134,20053011,Sketching and Rendering,1850,Graphic Design,127,9,0,https://mir-s3-cdn-cf.behance.net/projects/404/20053011.5424b1b9714b6.jpg,"[{'r': 254, 'g': 254, 'b': 254}]",8032563,AdamLane92,1858,16,16,1240,65,1
135,21715711,Rhino 4 Models ,1784,Automotive Design,288,9,0,https://mir-s3-cdn-cf.behance.net/projects/404/21715711.547bf41962005.jpg,"[{'r': 253, 'g': 252, 'b': 251}]",2162477,nathanieljachim,2450,218,132,5164,467,4
136,24982143,DIY- Drill it Yourself,1305,Engineering,221,9,0,https://mir-s3-cdn-cf.behance.net/projects/404/fc8c6c24982143.Y3JvcCw5NzQsNzYxLDIxNCw1Ng.jpg,"[{'r': 238, 'g': 238, 'b': 238}]",12316381,yohanchacko,1678,88,83,3962,349,18
137,4939229,BMW Cordless Drill,2610,Branding,534,9,0,https://mir-s3-cdn-cf.behance.net/projects/404/4939229.5464b2b96e9db.jpg,"[{'r': 253, 'g': 253, 'b': 253}]",1486469,bradinch,2620,0,22,2065,39,0
138,6850291,3D model of a Hand drill,2458,Industrial Design,361,9,0,https://mir-s3-cdn-cf.behance.net/projects/404/6850291.546ec3b9514af.jpg,"[{'r': 231, 'g': 231, 'b': 231}]",2098171,jshan,2463,11,28,3984,56,0
139,12914895,SJ-2030,2141,Industrial Design,734,8,0,https://mir-s3-cdn-cf.behance.net/projects/404/12914895.5483531baef4c.png,"[{'r': 249, 'g': 249, 'b': 249}]",3352543,alejandrahef,2251,13,80,2867,69,1
140,13309249,Drill stylisation in colani's style,2128,Drawing,310,8,0,https://mir-s3-cdn-cf.behance.net/projects/404/13309249.5483e8b716a43.jpg,"[{'r': 238, 'g': 238, 'b': 238}]",1186485,TonnyRamone,2706,89,149,11554,551,27
141,15810391,X-ray objects,2026,Drawing,247,8,0,https://mir-s3-cdn-cf.behance.net/projects/404/15810391.548a185d14ce4.jpg,"[{'r': 10, 'g': 7, 'b': 4}]",1186485,TonnyRamone,2706,89,149,11554,551,27
142,16674291,Sketches,1992,Drawing,267,8,0,https://mir-s3-cdn-cf.behance.net/projects/404/16674291.548b5738a0bae.jpg,"[{'r': 246, 'g': 249, 'b': 94}]",5817451,shaneroepe,1994,16,66,4956,157,0
143,16937745,Drill for Women,1982,Industrial Design,125,8,0,https://mir-s3-cdn-cf.behance.net/projects/404/16937745.548bb858777dc.jpg,"[{'r': 236, 'g': 236, 'b': 237}]",5062693,agkrahl,2075,31,15,277,16,4
144,22616157,Tim,1744,Engineering,70,8,2,https://mir-s3-cdn-cf.behance.net/projects/404/22616157.54b047b406c21.jpg,"[{'r': 232, 'g': 232, 'b': 232}]",2418341,murthags,2399,18,5,175,14,0
145,23384179,Taladro / Power drill,1718,Engineering,386,8,1,https://mir-s3-cdn-cf.behance.net/projects/404/0cfc0923384179.55259405ecaa3.jpg,"[{'r': 37, 'g': 40, 'b': 50}]",2572031,MauricioErcoli,2374,326,156,9027,396,15
146,25138187,Cordless Drill - Rendering with Keyshot,1657,Graphic Design,121,8,0,https://mir-s3-cdn-cf.behance.net/projects/404/564f3425138187.Y3JvcCw0MDQsMzE2LDAsMA.jpg,"[{'r': 145, 'g': 167, 'b': 248}]",1007391,rbasquera,2774,86,49,866,71,32
147,27116081,DRILLI Concept,1588,Engineering,264,8,2,https://mir-s3-cdn-cf.behance.net/projects/404/f18fdf27116081.557e4df3a5e7e.jpg,"[{'r': 242, 'g': 241, 'b': 241}]",9051871,monicafregosonoble,1827,21,38,2336,118,10
