,adjclose,close,high,low,open,volume
2017-10-09,90.37410736083984,91.69000244140625,91.95999908447266,91.5,91.58999633789062,1653700
2017-10-10,90.57123565673828,91.88999938964844,92.33999633789062,91.77999877929688,91.87999725341797,2247200
2017-10-11,90.6402359008789,91.95999908447266,92.6500015258789,91.80999755859375,91.86000061035156,3051400
2017-10-12,90.2952651977539,91.61000061035156,92.2300033569336,91.41999816894531,91.62999725341797,3279000
2017-10-13,91.5273208618164,92.86000061035156,92.91999816894531,91.26000213623047,91.5,3224200
2017-10-16,90.6402359008789,91.95999908447266,93.3499984741211,90.80999755859375,93.04000091552734,4294000
2017-10-17,90.37410736083984,91.69000244140625,92.0999984741211,91.58000183105469,91.94000244140625,2939600
2017-10-18,90.75850677490234,92.08000183105469,92.2699966430664,91.68000030517578,91.80000305175781,4720200
2017-10-19,90.58109283447266,91.9000015258789,92.94999694824219,90.04000091552734,90.4000015258789,6512100
2017-10-20,90.76837158203125,92.08999633789062,93.29000091552734,91.97000122070312,92.83999633789062,4442200
2017-10-23,91.05421447753906,92.37999725341797,93.08999633789062,92.22000122070312,92.22000122070312,2963100
2017-10-24,92.51296997070312,93.86000061035156,93.93000030517578,92.33000183105469,92.5999984741211,4481500
2017-10-25,92.18769836425781,93.52999877929688,94.23999786376953,93.2699966430664,94.0,4266100
2017-10-26,94.31670379638672,95.69000244140625,95.7300033569336,93.9800033569336,93.98999786376953,4136800
2017-10-27,94.41527557373047,95.79000091552734,96.0199966430664,95.02999877929688,95.44999694824219,3212200
2017-10-30,93.70559692382812,95.06999969482422,96.12000274658203,94.83999633789062,95.7300033569336,3096500
2017-10-31,94.14913177490234,95.5199966430664,95.61000061035156,94.5199966430664,94.9800033569336,3146400
2017-11-01,94.41527557373047,95.79000091552734,96.56999969482422,95.44000244140625,96.29000091552734,2320000
2017-11-02,94.60254669189453,95.9800033569336,96.23999786376953,95.38999938964844,96.0,3013300
2017-11-03,95.04608917236328,96.43000030517578,96.43000030517578,95.77999877929688,96.27999877929688,2089500
2017-11-06,94.90808868408203,96.29000091552734,96.7300033569336,95.93000030517578,96.3499984741211,1848300
2017-11-07,94.00129699707031,95.37000274658203,96.9000015258789,95.18000030517578,96.41999816894531,3200900
2017-11-08,93.76473999023438,95.12999725341797,95.27999877929688,94.44999694824219,95.0999984741211,2163700
2017-11-09,92.40454864501953,93.75,94.66000366210938,93.27999877929688,94.33999633789062,3949800
2017-11-10,92.17784118652344,93.5199966430664,94.1500015258789,93.38999938964844,93.79000091552734,2714400
2017-11-13,92.5523910522461,93.9000015258789,93.9800033569336,92.77999877929688,93.0,2708500
2017-11-14,92.4144058227539,93.76000213623047,93.79000091552734,92.94000244140625,93.56999969482422,2843700
2017-11-15,91.92157745361328,93.26000213623047,93.79000091552734,92.80000305175781,93.2699966430664,3236600
2017-11-16,92.2172622680664,93.55999755859375,94.04000091552734,93.30000305175781,93.55000305175781,2586500
2017-11-17,92.34540557861328,93.69000244140625,93.76000213623047,92.91999816894531,93.30999755859375,3261200
2017-11-20,92.60166931152344,93.94999694824219,94.33999633789062,93.68000030517578,93.91999816894531,3456600
2017-11-21,93.0550765991211,94.41000366210938,94.6500015258789,94.12000274658203,94.41999816894531,2917000
2017-11-22,92.4735336303711,93.81999969482422,94.70999908447266,93.4800033569336,94.38999938964844,2159100
2017-11-24,92.138427734375,93.4800033569336,94.12000274658203,93.47000122070312,93.97000122070312,837300
2017-11-27,92.1285629272461,93.47000122070312,94.0,93.36000061035156,93.56999969482422,2731300
2017-11-28,93.91258239746094,95.27999877929688,95.27999877929688,93.58000183105469,93.76000213623047,3536400
2017-11-29,95.2136459350586,96.5999984741211,97.31999969482422,95.5999984741211,95.95999908447266,4325500
2017-11-30,96.30770111083984,97.70999908447266,98.48999786376953,96.80999755859375,97.0199966430664,5328300
2017-12-01,96.45555877685547,97.86000061035156,98.22000122070312,95.8499984741211,98.08000183105469,3445200
2017-12-04,97.17507934570312,98.58999633789062,99.16999816894531,97.9800033569336,98.62000274658203,4562400
2017-12-05,97.29336547851562,98.70999908447266,99.75,98.58000183105469,99.19999694824219,3525600
2017-12-06,96.800537109375,98.20999908447266,98.81999969482422,98.16999816894531,98.63999938964844,3081300
2017-12-07,97.16522979736328,98.58000183105469,99.12000274658203,97.4800033569336,97.76000213623047,3026100
2017-12-08,97.13566589355469,98.55000305175781,99.0,98.13999938964844,99.0,3850300
2017-12-11,97.5792007446289,99.0,99.04000091552734,98.23999786376953,98.5999984741211,2984100
2017-12-12,97.94388580322266,99.37000274658203,99.66000366210938,98.8499984741211,98.87999725341797,3455500
2017-12-13,96.376708984375,97.77999877929688,99.30999755859375,97.76000213623047,99.12000274658203,3463900
2017-12-14,95.75575256347656,97.1500015258789,98.6500015258789,97.1500015258789,98.30999755859375,3464600
2017-12-15,97.10609436035156,98.5199966430664,98.83999633789062,97.44000244140625,97.77999877929688,7891800
2017-12-18,98.24944305419922,99.68000030517578,100.52999877929688,98.98999786376953,99.19000244140625,3485400
2017-12-19,97.72705078125,99.1500015258789,100.38999938964844,99.12000274658203,100.20999908447266,3282600
