duration,views,appreciations,comments,ownerDuration,ownerFollowings,ownerFollowers,ownerViews,ownerAppreciations,ownerComments
3670,48172,3410,194,4148,517,39663,1213192,74907,15
1923,44129,3379,124,2983,120,47416,1498235,122440,71
1048,21589,3370,46,1057,19,632,43812,5727,56
2080,50514,3351,143,2357,33,3020,94222,5891,6
1552,35629,3347,79,1634,248,11284,393399,32428,527
2909,22321,3327,37,3405,849,3926,286975,35900,28
2483,67314,3323,117,3706,85,2265,170813,8207,42
867,4295,3314,3,872,0,857,252567,196857,26
606,35688,3307,124,2114,691,3715,210031,21301,171
867,4533,3302,6,872,0,857,252567,196857,26
664,27628,3301,96,1079,16,14231,594492,44463,5
1556,56431,3280,70,2035,646,3591,107610,7311,94
1187,34362,3271,130,2656,499,20127,996149,94455,1704
1240,93644,3252,133,1756,18,1175,166357,5110,1
1498,62039,3251,84,2010,208,1677,122518,7719,208
1411,52032,3245,158,1479,31,2871,158731,11054,5
536,24885,3244,145,3389,8186,27471,797823,104003,56
867,4065,3230,2,872,0,857,252567,196857,26
266,44860,3207,122,1531,113,2001,106393,7739,25
1232,48713,3196,119,1246,36,3608,112964,7733,3
2088,48614,3186,122,4295,165,48499,804342,47703,23
1658,48688,3182,110,4066,2975,4472,199419,9550,185
913,30970,3181,109,2038,62,11109,339155,27327,200
1232,39642,3179,109,1246,36,3608,112964,7733,3
1608,43370,3155,53,2790,128,7966,165181,12807,15
637,30001,3154,152,2136,596,15756,454890,42322,985
1736,31740,3151,130,3854,83,1282,39552,3596,48
587,33519,3147,118,1871,500,30371,1061672,90557,56
992,67440,3142,89,1826,381,3179,116837,6316,123
234,37448,3142,81,292,2,701,55653,4593,9
1556,24881,3103,95,2182,52,461,24880,3103,8
624,4652,3083,1,872,0,857,252567,196857,26
867,3989,3082,5,872,0,857,252567,196857,26
965,50356,3057,137,1886,18,4260,366798,23780,3
1915,34444,3030,168,2789,207,10201,287473,21390,444
1057,9425,3027,6,1106,30,4116,193769,45948,68
1197,16608,3022,64,2068,233,5810,257054,70663,642
1529,18807,3016,136,2166,1455,4862,100931,11308,506
1621,50613,2994,157,1623,129,12419,659883,46237,8
867,3659,2977,1,872,0,857,252567,196857,26
2216,42309,2973,94,3126,84,5413,126372,9530,180
751,40457,2969,32,800,1,276,47428,3410,2
867,3875,2968,2,872,0,857,252567,196857,26
1107,30491,2961,145,2042,303,5259,159211,15073,314
1680,21651,2957,138,2699,202,2138,79316,7970,2168
1536,78692,2953,162,2526,517,3084,134098,5778,3
2135,48278,2952,167,2222,14,9618,327507,19075,8
867,3677,2942,1,872,0,857,252567,196857,26
570,27205,2913,113,2819,401,8626,288518,27494,222
1142,47228,2910,110,1189,3,5313,142498,8366,0
1729,20923,2908,126,2663,610,6721,178020,18653,140
2568,40436,2876,126,2848,21,12144,85911,4489,0
1592,57634,2869,108,2959,215,37314,1775639,58226,10
611,4140,2870,3,872,0,857,252567,196857,26
867,4283,2860,1,872,0,857,252567,196857,26
2395,36219,2855,89,2797,39,1335,71211,5351,32
2142,38505,2851,107,2898,0,3402,249607,8957,0
1407,53498,2842,97,2574,171,19876,225970,14395,244
1682,30442,2838,109,1992,29,2480,77838,5103,12
733,10036,2824,22,734,10,733,68416,14818,47
1687,36450,2818,179,4235,209,61649,1559794,68684,1768
607,14659,2818,113,1901,474,27408,596106,77454,13
820,3314,2813,1,872,0,857,252567,196857,26
825,3306,2790,2,872,0,857,252567,196857,26
1726,81595,2787,135,2959,215,37314,1775639,58226,10
1349,29350,2779,87,2488,273,3087,98172,7512,60
1505,31722,2767,84,2656,499,20127,996149,94455,1704
867,3744,2768,2,872,0,857,252567,196857,26
1539,38023,2762,84,1634,248,11284,393399,32428,527
1686,42175,2761,114,2350,109,4612,223397,18208,70
1921,42060,2760,80,2897,0,67015,2026951,119070,0
844,27201,2759,108,1511,413,3948,101179,9078,32
1188,54102,2754,115,1189,3,5313,142498,8366,0
2781,15927,2727,31,3405,849,3926,286975,35900,28
1261,28787,2724,127,2172,99,913,35267,3105,68
1259,26756,2717,101,2235,414,46548,1355051,139233,37
2576,55984,2717,120,3145,65,4701,666018,21042,219
1049,30321,2710,168,3273,519,37246,897062,76192,457
741,19576,2697,67,2175,77,16504,566769,53645,398
164,23999,2691,65,1914,492,15693,840160,83677,276
1128,61630,2676,28,3484,2169,30277,3795317,188511,508
768,31714,2667,56,1083,83,1026,34248,2746,10
526,21116,2666,40,4259,1791,4730,269954,26462,13
471,24534,2636,73,1614,76,12413,413427,38993,784
3404,16340,2622,17,3405,849,3926,286975,35900,28
2230,50851,2612,123,2342,24,1202,61875,3177,17
1197,44966,2610,163,2648,87,43656,1918791,150147,3083
391,27098,2607,87,851,122,1782,74884,8128,90
1058,37933,2606,82,1319,4,5723,326036,21809,0
1392,25305,2600,148,1704,156,1794,32492,3124,82
1704,46169,2586,136,4235,209,61649,1559794,68684,1768
839,25757,2582,129,1675,23,6080,172534,15987,158
1120,49084,2582,45,1533,48,1954,65632,3913,21
906,14694,2572,91,1901,474,27408,596106,77454,13
2136,27521,2563,121,2145,16,3569,79712,7041,64
477,4368,2562,12,2068,233,5810,257054,70663,642
500,18724,2560,88,2509,188,1251,53543,4346,89
733,9144,2558,7,734,10,733,68416,14818,47
1690,26767,2543,57,2228,448,6726,202829,17302,7
630,3196,2531,0,872,0,857,252567,196857,26
1880,25883,2529,74,3709,31,66691,3316429,242454,0
1559,25673,2523,71,1599,345,4649,139432,12572,43
1748,15444,2516,50,2068,233,5810,257054,70663,642
146,27354,2503,101,2983,120,47416,1498235,122440,71
1663,27864,2490,49,2790,128,7966,165181,12807,15
2230,33249,2479,118,2322,528,6124,173790,11706,74
1194,25403,2466,73,2089,137,2581,65498,5966,28
538,26304,2455,94,2142,643,1339,80505,5917,3
1125,28214,2449,106,1325,76,2646,60732,4303,6
751,27206,2441,86,1833,732,7042,180436,17334,193
2098,36050,2433,73,3677,74,1338,52113,3282,11
1187,26805,2425,77,2228,448,6726,202829,17302,7
1000,42760,2409,91,2792,86,4756,189838,12042,7
1613,19013,2407,89,1949,78,5788,216301,18201,9
1546,37605,2407,53,1634,248,11284,393399,32428,527
1035,25766,2401,73,1771,53,3022,52842,5114,17
238,13331,2390,86,3123,595,13304,245247,27078,220
1503,23449,2387,74,2032,202,3996,106409,10208,28
950,28272,2383,81,1173,142,1959,65387,5728,132
1794,26397,2377,41,2307,33,2864,60093,4648,4
105,10371,2378,95,1905,307,9294,254296,25271,200
565,39304,2373,93,2959,215,37314,1775639,58226,10
1150,13554,2369,132,3252,447,5889,94246,15733,298
125,113017,2369,156,503,11,509,128243,2773,27
1530,22393,2368,50,2790,128,7966,165181,12807,15
1123,40927,2367,88,1209,3,11861,421578,28504,1
1721,23232,2366,142,2554,2567,8179,296833,23053,703
2446,56555,2363,88,2756,489,1165,80711,4922,13
1435,19011,2356,77,2679,363,6763,213974,19034,50
1260,40458,2355,29,2322,192,1018,189989,7954,94
1742,18923,2351,119,3024,2333,8720,485292,50999,127
1923,33178,2342,64,3171,4,1183,43443,3244,0
2176,49152,2332,117,2781,588,1675,90251,6156,20
1565,24956,2330,170,3231,530,79926,1440750,130270,841
1246,15220,2325,70,1403,13,673,35771,6464,29
2003,36932,2322,94,4173,141,3572,300704,19044,176
692,19537,2320,76,2651,150,8291,230507,26564,122
1086,49569,2316,102,3528,304,39108,985104,51525,12
3313,51409,2302,82,3313,41,566,69273,2828,9
1030,21332,2301,100,1934,648,6444,328705,18307,119
1560,23762,2300,85,3870,141,4080,194954,8920,39
1630,27431,2299,117,2802,115,2109,71187,7172,64
1610,22645,2294,72,1691,11,1983,53811,4735,1
1311,32641,2290,66,2457,114,5448,153623,12584,33
2179,41569,2284,69,2181,334,5401,327992,19508,72
517,26892,2278,51,1919,109,17062,501871,40273,9
1856,37797,2275,100,3040,482,16311,1077044,69891,363
322,23671,2274,74,1675,23,6080,172534,15987,158
1601,46450,2270,91,1603,0,3030,122218,5917,0
1319,25497,2253,105,2042,303,5259,159211,15073,314
1814,22873,2240,71,2042,303,5259,159211,15073,314
1412,21245,2236,107,3496,407,4158,188863,15419,314
2345,26570,2236,94,2638,452,414,57198,4448,0
879,18263,2224,57,2651,150,8291,230507,26564,122
1695,74933,2221,99,3145,65,4701,666018,21042,219
669,18135,2227,72,1845,8,3688,72716,6436,6
1195,19741,2220,75,1634,248,11284,393399,32428,527
62,7374,2221,29,3149,322,37329,1560713,344961,28
1293,18484,2218,82,2762,874,5626,250232,36874,1672
1603,12647,2216,66,1866,176,4298,115244,17582,549
3286,40553,2216,106,3696,1161,14850,182637,14135,65
1252,36040,2213,62,3056,159,19584,752017,53265,95
2338,27980,2211,114,2349,705,4100,151058,10780,162
1977,35898,2209,56,3709,31,66691,3316429,242454,0
727,23440,2202,51,3123,595,13304,245247,27078,220
2119,33069,2199,84,2693,23,7440,353543,18492,68
914,25381,2199,102,2019,495,2773,84429,8017,193
1679,19277,2198,77,2027,251,2419,55112,5138,64
570,24350,2198,30,1919,109,17062,501871,40273,9
930,37906,2192,44,2322,31,3542,105869,8559,3
494,21918,2185,41,1919,109,17062,501871,40273,9
1941,45446,2182,146,2175,1265,1372,148794,4170,192
213,18637,2181,25,1337,48,462,84503,12444,111
427,21097,2178,110,1334,226,458,23403,2442,72
1823,21032,2176,78,1939,137,2093,50435,4996,11
649,15454,2176,67,3582,115,11442,253260,27683,15
1242,25889,2172,109,2929,316,3025,119536,7302,50
1004,21821,2171,50,1605,476,1284,31560,3114,6
2349,39534,2170,73,2349,705,4100,151058,10780,162
845,23136,2168,66,1098,360,4462,99381,9956,55
1406,24944,2163,63,2662,12,1876,86028,5608,0
248,15236,2150,229,250,4829,852,99814,10742,82
1589,68932,2149,112,2877,722,2058,156233,7707,70
2216,23367,2137,81,3126,84,5413,126372,9530,180
1215,18813,2136,57,2321,114,5794,231529,18926,5
203,25420,2136,83,2557,86,13932,490655,39990,49
1775,11444,2123,68,2068,233,5810,257054,70663,642
2533,31904,2123,61,3353,174,1261,142051,6090,82
2252,19721,2122,118,2640,157,638,33294,3096,17
1407,38701,2118,130,2236,646,2312,87854,5954,224
1031,21839,2113,55,1833,256,4152,84696,6407,33
1982,54748,2112,111,2959,215,37314,1775639,58226,10
649,31139,2110,60,1209,3,11861,421578,28504,1
1066,22450,2107,58,1067,33,3870,87639,9120,13
959,27816,2107,60,2965,172,1412,126807,5114,0
1658,62252,2104,44,2557,113,2463,155456,8660,160
1951,15537,2101,76,2194,20,1453,31297,3475,0
1224,26675,2095,67,2042,303,5259,159211,15073,314
935,11917,2092,22,1197,82,723,46273,7515,32
1270,29209,2091,90,2056,80,2812,73185,4863,0
1152,26186,2089,85,3031,494,18150,232617,16401,3
1442,40677,2087,64,1937,37,479,44574,2292,13
1114,20281,2086,60,2790,128,7966,165181,12807,15
1338,18720,2080,53,1339,152,2006,41272,5674,37
1420,25450,2075,72,2236,1284,3630,122075,10606,279
637,2388,2074,0,872,0,857,252567,196857,26
3836,32125,2066,80,4148,517,39663,1213192,74907,15
1202,21976,2066,51,2042,303,5259,159211,15073,314
900,17447,2066,56,2193,468,8586,174651,17952,95
2303,27701,2062,54,2304,32,15736,189730,13001,20
1203,17051,2060,116,1398,606,1085,32425,3107,74
2125,32298,2059,92,4219,687,48962,2067139,129261,14
288,17740,2059,100,1832,88,4083,106502,11095,335
937,31881,2049,51,2028,187,5644,159026,8566,65
1246,45152,2047,8,3484,2169,30277,3795317,188511,508
828,17033,2047,160,1068,85,2339,112475,11919,107
819,14733,2043,52,1445,28,1200,57566,6806,6
3407,37347,2041,157,3777,136,21522,240718,14204,400
471,19667,2041,59,1771,53,3022,52842,5114,17
1500,11878,2040,59,2515,182,7008,155144,21939,266
483,20390,2031,72,972,102,2863,91765,8451,131
418,20629,2031,65,932,1174,1916,68784,7074,64
895,29014,2029,72,2813,19,28493,1556573,136398,1168
2260,41847,2029,102,4070,107,5678,328809,20817,806
661,17698,2021,101,810,4713,3370,67450,7650,12
335,29803,2021,70,3576,42,5207,191391,12323,8
2219,34551,2020,70,2768,5,12858,113747,8204,1
399,18137,2019,75,1614,76,12413,413427,38993,784
2121,28657,2017,69,3607,662,3561,388615,25011,268
2791,24923,2011,98,3363,225,3181,224002,14433,39
1835,9190,2010,33,2068,233,5810,257054,70663,642
1519,28266,2009,58,1634,248,11284,393399,32428,527
371,14024,2008,59,2547,233,768,26445,2489,45
47,22144,2008,84,1209,3,11861,421578,28504,1
2103,70147,2005,53,2105,19,418,88135,2696,5
1441,12833,2004,71,1695,24,8343,188613,23233,15
1351,17262,2001,91,2656,499,20127,996149,94455,1704
718,24691,1993,44,1523,443,7283,161243,15208,23
659,16221,1992,86,1290,57,792,20159,2277,29
831,21085,1988,103,2019,495,2773,84429,8017,193
2364,45629,1972,69,3708,18,1523,68690,3302,20
3235,34305,1967,61,4148,517,39663,1213192,74907,15
1628,12847,1960,139,2802,115,2109,71187,7172,64
1355,20672,1950,70,3741,327,3580,112329,10031,120
1167,17374,1950,52,2089,137,2581,65498,5966,28
402,117319,1947,38,1177,1,922,132231,3240,57
2730,13823,1944,16,3244,16,4404,289818,29441,62
995,21441,1942,162,2395,513,2333,51510,3866,456
1355,22530,1941,64,2774,173,1943,57293,3814,20
1486,18372,1937,88,2951,403,3210,189337,18143,166
326,40676,1937,40,1935,90,805,50987,2886,614
1268,30265,1935,42,2768,270,491,42514,2448,9
2083,16599,1933,93,2223,2,1220,27275,2710,6
566,20457,1932,71,1607,276,3227,79165,6840,245
35,13583,1931,4,3661,31,2068,112163,13028,551
2099,22330,1927,93,2906,100,1203,44277,3843,18
1541,61921,1925,25,2311,315,2182,125332,3751,4
867,20277,1918,42,959,52,4282,130587,12031,144
608,19268,1917,69,1561,104,7506,191568,16449,73
1343,21352,1915,72,1749,593,746,43255,3576,1
964,22686,1915,55,1634,248,11284,393399,32428,527
827,14586,1914,88,1687,1557,1630,62383,6595,122
993,19926,1911,69,2898,141,4543,247881,12171,21
1410,23415,1908,39,2583,442,7201,211313,17304,4
1064,15831,1905,80,2656,499,20127,996149,94455,1704
462,17898,1902,60,1561,104,7506,191568,16449,73
455,25378,1902,24,1919,109,17062,501871,40273,9
1953,25813,1897,77,2557,86,13932,490655,39990,49
2721,13860,1893,108,3389,8186,27471,797823,104003,56
1370,22875,1893,49,2038,62,11109,339155,27327,200
1920,63005,1892,38,2544,976,7065,308834,12212,76
1895,23853,1892,54,4016,56,3946,131032,8114,16
1865,70528,1892,61,3259,107,1469,105924,3709,12
1399,12249,1892,200,3294,3854,38990,1346352,171556,2128
737,28183,1891,37,2557,86,13932,490655,39990,49
1439,21618,1888,52,1634,248,11284,393399,32428,527
1972,23947,1886,55,4016,56,3946,131032,8114,16
3611,29334,1882,88,4148,517,39663,1213192,74907,15
958,20450,1882,47,1595,83,2462,42046,3489,8
1933,30675,1880,54,2512,164,3204,102749,5468,3
711,28644,1880,54,1079,16,14231,594492,44463,5
2217,23377,1877,78,2603,849,1309,53194,3284,20
3316,31704,1873,220,4070,107,5678,328809,20817,806
1532,11966,1871,84,2575,157,21592,428668,45123,8
962,17080,1871,33,1561,104,7506,191568,16449,73
867,2316,1872,2,872,0,857,252567,196857,26
985,26352,1868,39,1561,104,7506,191568,16449,73
1799,25545,1867,85,2032,24,2383,54647,3567,5
1115,16954,1858,46,1883,0,401,17441,1888,0
390,39924,1857,31,1326,150,822,50390,2246,4
1422,30854,1854,27,1425,119,2975,85072,4895,7
1565,49824,1846,75,2959,215,37314,1775639,58226,10
424,32216,1846,62,640,662,2138,75501,5294,925
780,16723,1845,99,1682,231,3504,223177,20044,665
2342,30873,1840,69,2897,0,67015,2026951,119070,0
125,22173,1841,92,4255,1678,22678,682421,52705,356
468,15782,1838,41,734,10,733,68416,14818,47
1873,11724,1836,83,2569,71,34991,612469,76986,166
1511,18435,1833,68,3015,261,3182,78835,5742,258
376,3552,1835,10,406,40,205,25231,16114,9
1813,19071,1831,44,1884,60,1096,32495,2759,29
1194,14322,1829,81,1866,176,4298,115244,17582,549
1336,12486,1828,74,1866,176,4298,115244,17582,549
1549,21879,1818,85,3709,31,66691,3316429,242454,0
1462,17292,1817,80,1487,10,9934,273647,16907,0
2065,118818,1816,18,2585,0,485,185551,2727,0
1194,14624,1812,70,1949,78,5788,216301,18201,9
872,2261,1812,0,872,0,857,252567,196857,26
1558,21686,1810,76,3165,599,1362,38319,2993,41
1628,16641,1803,77,2210,439,2557,73832,7092,243
738,14105,1803,60,2238,759,3224,88901,6180,202
1985,12631,1798,89,2780,30,29106,1917579,117966,5
1833,19458,1798,52,2784,167,5742,162888,11911,164
1222,21497,1797,61,1511,413,3948,101179,9078,32
438,13532,1797,73,2693,23,7440,353543,18492,68
2306,30231,1788,80,2331,0,680,31566,1877,0
1028,18074,1787,98,2193,468,8586,174651,17952,95
389,13096,1784,120,2435,274,5561,120291,11327,80
382,2559,1785,3,406,40,205,25231,16114,9
1925,12284,1777,132,2736,1238,11593,352365,32338,266
353,3489,1778,7,406,40,205,25231,16114,9
2381,32154,1766,66,2554,2567,8179,296833,23053,703
790,13234,1764,68,2802,0,1433,73663,7143,0
805,13613,1763,48,2166,53,2936,112090,7784,35
278,2496,1762,2,406,40,205,25231,16114,9
1133,13070,1758,76,3231,530,79926,1440750,130270,841
1158,20455,1755,70,1840,183,3741,82894,6969,389
1575,22223,1754,53,2236,94,2787,55872,4115,14
539,31642,1751,65,1323,5,2227,86451,7133,51
1902,23273,1750,48,2013,12,9603,405613,28182,11
740,16936,1747,46,3806,103,8146,325106,28797,33
186,9791,1742,25,643,32,1348,41832,5572,0
1094,18624,1739,69,1098,360,4462,99381,9956,55
632,22004,1739,73,2050,39,6409,302726,18998,1
520,16603,1737,89,1351,939,558,16600,1737,413
768,13085,1734,65,1196,459,1783,51128,4690,38
