ID,projectID,projectName,duration,field,views,appreciations,comments,foucs,pic,colors,ownerID,ownerName,ownerFollowers,ownerViews,ownerAppreciations,ownerComments
0,716663,Write a Bike,3142,Typography,348052,24526,532,6724,https://mir-s3-cdn-cf.behance.net/projects/404/50215a716663.Y3JvcCwxNDY1LDExNDYsMzE1Miw4Nzc.jpg,"[{'r': 248, 'g': 248, 'b': 237}]",234699,juri,22437,1123601,81839,81
1,14929833,Smartwatch Concept,1888,Industrial Design,273792,21495,598,4300,https://mir-s3-cdn-cf.behance.net/projects/404/14929833.5488d79c622f0.jpg,"[{'r': 87, 'g': 79, 'b': 78}]",5060605,baloghgabor,4380,281820,21890,8
2,16011385,iPad Pro Design Concept,1846,Industrial Design,224369,16230,539,3430,https://mir-s3-cdn-cf.behance.net/projects/404/16011385.548a61958815e.png,"[{'r': 4, 'g': 5, 'b': 7}]",172489,Ramotion,151513,5614954,716891,37
3,10913299,Hræsvelgr,2054,Industrial Design,83154,16113,222,1797,https://mir-s3-cdn-cf.behance.net/projects/404/10913299.5480a6ece9227.jpg,"[{'r': 39, 'g': 24, 'b': 14}]",261891,melkhiah,36809,1523423,329959,27
4,6488625,NPTV  visual identity,2050,Advertising,75420,15441,181,1722,https://mir-s3-cdn-cf.behance.net/projects/404/7fa7c86488625.Y3JvcCw0MDUwMCwzMTcwMCwwLDA.jpg,"[{'r': 69, 'g': 71, 'b': 75}]",261891,melkhiah,36809,1523423,329959,27
5,29936499,Rhei - The Liquid Clock,1309,Engineering,102570,11620,634,7039,https://mir-s3-cdn-cf.behance.net/projects/404/d365b129936499.56151cfe4c382.jpg,"[{'r': 241, 'g': 241, 'b': 241}]",56129,stankovicdamjan,18653,437073,30791,83
6,3434853,Headache,2597,Industrial Design,51400,11461,146,1278,https://mir-s3-cdn-cf.behance.net/projects/404/3434853.545cfffb1d870.jpg,"[{'r': 48, 'g': 16, 'b': 22}]",261891,melkhiah,36809,1523423,329959,27
7,7297839,BEEloved honey,2248,Branding,168432,10495,578,3287,https://mir-s3-cdn-cf.behance.net/projects/404/7297839.54712ad814b51.jpg,"[{'r': 253, 'g': 252, 'b': 215}]",107951,TashMihajlovic,4159,220029,13276,166
8,21357109,Armstrong - light trap ,1605,Branding,99272,10339,410,2211,https://mir-s3-cdn-cf.behance.net/projects/404/21357109.5484cb4065a83.jpg,"[{'r': 9, 'g': 11, 'b': 10}]",1023937,bolimond,20059,988627,93783,1699
9,57915943,Slade WebSite Template Vol.1,559,Web Design,67498,9733,165,537,https://mir-s3-cdn-cf.behance.net/projects/404/8d826a57915943.Y3JvcCw4MTAsNjM0LDAsMA.jpg,"[{'r': 253, 'g': 253, 'b': 253}]",6788135,Graphichex,5682,533062,102907,8
10,13434535,TRITON,1947,Industrial Design,259923,9706,93,1895,https://mir-s3-cdn-cf.behance.net/projects/404/13434535.548415c108fe8.jpg,"[{'r': 5, 'g': 5, 'b': 6}]",2097749,Jeabyun,2422,325623,12401,85
11,57705665,36days Electronics,565,Graphic Design,79637,9405,447,3868,https://mir-s3-cdn-cf.behance.net/projects/404/6bcaba57705665.Y3JvcCw4OTksNzAzLDE0Nyw0NA.jpg,"[{'r': 175, 'g': 175, 'b': 147}]",3779401,va_designer,15704,378991,38176,921
12,28649063,FREEBIES – 12 REAL MARKERS ESSENTIALS,1358,Fashion,161038,9194,85,1863,https://mir-s3-cdn-cf.behance.net/projects/404/dbafb128649063.55cb0d899918b.jpg,"[{'r': 254, 'g': 253, 'b': 254}]",2660635,eilertjanssen,2781,214192,13722,85
13,52124723,Brand Knight,731,Illustration,75558,8734,413,2783,https://mir-s3-cdn-cf.behance.net/projects/404/15a5fb52124723.Y3JvcCwxNDc5LDExNTgsMCwxMzU.jpg,"[{'r': 251, 'g': 6, 'b': 0}]",5178883,Dextermaurer,10271,291291,32233,57
14,23087645,COSMOS,1535,Industrial Design,105689,8654,474,2530,https://mir-s3-cdn-cf.behance.net/projects/404/de356423087645.54e363ade7060.png,"[{'r': 2, 'g': 2, 'b': 2}]",1045355,ionL,43454,1889704,148609,3071
15,16420961,Misfit SHINE,1822,Branding,104851,8404,349,7566,https://mir-s3-cdn-cf.behance.net/projects/404/16420961.548af92060756.jpg,"[{'r': 178, 'g': 177, 'b': 163}]",55331,denisolenik,61782,1557970,68623,1768
16,13966823,LAMP BLOOM,1923,Furniture Design,88014,8380,331,1792,https://mir-s3-cdn-cf.behance.net/projects/404/13966823.5484d7c555758.jpg,"[{'r': 255, 'g': 255, 'b': 255}]",1023937,bolimond,20059,988627,93783,1699
17,16270781,PILLARs of FLUX,1836,Architecture,37968,8137,316,516,https://mir-s3-cdn-cf.behance.net/projects/404/a9fad516270781.Y3JvcCwxNDU2LDExNDAsMzIwLDYx.jpg,"[{'r': 41, 'g': 42, 'b': 57}]",1730983,erdembatirbek,2881,157215,45344,97
18,51014667,MacBook Pro 2018,760,Industrial Design,107715,8125,389,3007,https://mir-s3-cdn-cf.behance.net/projects/404/a1eb7851014667.Y3JvcCw4NjcsNjc5LDIxNCww.png,"[{'r': 27, 'g': 32, 'b': 45}]",4438535,Brunsteiner,4198,160358,11342,27
19,71709173,Nemrut Caldera Observation Route,190,Architecture,15122,7665,49,655,https://mir-s3-cdn-cf.behance.net/projects/404/05efd771709173.Y3JvcCwxNDk3LDExNzEsNzAsNjM.jpg,"[{'r': 215, 'g': 227, 'b': 215}]",3991167,keremcankirilmaz,5738,250013,67084,636
20,22614295,Swirl,1572,Industrial Design,156556,7542,186,2523,https://mir-s3-cdn-cf.behance.net/projects/404/22614295.54b0377e65bad.jpg,"[{'r': 213, 'g': 213, 'b': 209}]",3721837,siminqiu,2907,194658,8689,1
21,26881899,Aura Water Pipe,1425,Branding,183602,7432,155,2604,https://mir-s3-cdn-cf.behance.net/projects/404/72a09626881899.557290a633685.jpg,"[{'r': 244, 'g': 247, 'b': 248}]",5348027,MauricioRomano,6374,326445,18187,119
