views,appreciations,comments,foucs
15486,2097,76,877
26269,2093,60,579
11843,2090,22,200
29046,2089,91,1203
30750,2085,60,905
26265,2083,67,723
20197,2083,60,1299
25816,2079,85,2310
40318,2077,64,433
21984,2075,58,873
61086,2074,44,589
32101,2066,81,1098
17280,2060,56,985
27591,2060,54,2491
32268,2059,92,782
25109,2055,72,716
18509,2055,53,726
16925,2055,116,710
23942,2055,82,724
21536,2055,51,713
37287,2037,158,3091
16866,2036,159,486
14542,2033,52,356
11808,2032,59,649
31278,2031,51,1325
41812,2029,102,553
19156,2020,58,1186
34499,2020,70,3176
28622,2017,69,287
17499,2017,101,884
29521,2013,70,846
2320,2013,0,8
20282,2010,65,541
9152,2009,33,171
24842,2008,98,443
19850,2006,72,673
70106,2003,54,309
12720,1998,71,715
17175,1996,92,426
16799,1994,98,721
17540,1981,75,614
28020,1979,58,692
20942,1979,102,684
15979,1975,85,685
45219,1969,69,907
34268,1967,61,1045
23822,1962,41,935
13475,1959,59,594
12806,1958,139,574
20593,1949,71,694
13811,1942,16,290
17224,1941,52,842
43078,1938,7,311
16541,1932,93,870
22307,1927,64,981
22164,1922,91,602
21125,1921,162,1155
39929,1920,39,530
17998,1918,87,338
14466,1913,88,470
21209,1910,74,399
15734,1902,80,406
18927,1901,69,866
19806,1899,70,889
23268,1898,39,786
19738,1897,69,703
13833,1893,108,497
22483,1892,55,661
19790,1890,42,650
12176,1889,200,430
70283,1888,61,742
59219,1890,25,1093
24863,1888,24,796
25660,1887,77,665
28040,1886,37,664
29302,1882,88,1000
22617,1882,49,769
61790,1881,38,1085
23532,1881,54,912
30610,1878,55,1111
29093,1878,41,378
23727,1875,55,909
28484,1874,54,594
17411,1874,60,854
23293,1874,78,746
31662,1873,221,511
11833,1864,83,815
21409,1864,52,652
16907,1864,33,849
20044,1859,47,1313
25137,1856,85,1237
25950,1847,39,841
49578,1843,75,1182
30802,1838,69,1050
106049,1835,37,535
11574,1833,83,831
16312,1831,98,322
29735,1829,27,1109
15520,1828,41,84
18298,1827,69,1022
16417,1826,47,392
18973,1825,44,727
14265,1825,81,445
12369,1821,74,444
118662,1816,18,323
21718,1816,85,505
17210,1813,80,1055
2241,1812,2,7
21597,1808,76,823
30956,1808,61,720
16526,1801,77,645
14432,1799,71,569
12578,1797,90,443
11588,1797,49,739
19388,1795,52,865
13936,1794,60,931
21356,1792,61,776
13347,1788,73,719
30219,1788,80,647
12262,1775,131,636
12778,1768,119,865
7242,1769,82,659
17681,1762,98,842
13134,1761,68,354
32056,1760,66,595
13028,1756,76,1078
22004,1747,53,1182
2165,1741,0,7
22960,1738,49,590
18489,1738,69,781
21928,1736,73,586
31192,1735,65,539
14652,1728,122,592
9588,1728,25,415
36646,1727,85,762
20464,1728,88,744
16575,1726,45,491
12443,1718,59,548
15681,1717,60,626
16107,1717,50,734
12815,1716,65,653
25859,1716,49,1590
19947,1714,69,922
16215,1708,89,551
24414,1707,63,741
5231,1706,16,145
24863,1706,45,635
7353,1704,26,145
36612,1701,75,1087
43684,1692,48,1086
17542,1692,64,773
13498,1689,48,691
47172,1685,2,162
15718,1683,54,852
20783,1682,42,692
18829,1683,28,531
15419,1680,66,839
36936,1680,52,446
29166,1678,38,276
30475,1678,80,959
13853,1678,84,687
16510,1678,44,408
20514,1677,37,586
3103,1677,9,21
16501,1677,98,903
25822,1676,80,238
28323,1674,65,1116
16876,1673,66,651
30143,1669,64,724
19188,1669,46,704
12785,1666,56,465
15634,1665,82,452
33476,1657,43,656
9431,1656,28,403
20291,1654,73,723
12723,1653,45,639
18986,1652,88,693
20427,1651,36,943
20905,1647,52,559
2334,1642,2,21
19813,1640,65,668
44254,1639,38,410
37493,1638,58,837
7745,1633,22,139
3093,1633,6,20
20145,1631,48,635
5597,1627,4,75
5200,1626,3,60
20599,1625,95,346
15624,1620,46,665
14359,1619,54,671
2268,1618,1,20
19338,1614,41,911
12194,1614,37,638
21038,1608,68,910
18282,1606,39,566
25061,1606,39,1488
19145,1606,48,625
8128,1604,0,60
29103,1601,55,695
20298,1601,58,606
1964,1601,0,6
15723,1598,60,417
25201,1595,67,798
17152,1594,51,1083
94985,1591,69,632
16920,1589,44,670
24746,1588,71,357
18306,1587,57,347
30907,1583,81,687
6638,1579,20,100
21709,1578,16,253
19731,1576,76,649
10072,1576,48,706
21429,1574,33,1426
14641,1574,75,881
16332,1573,46,541
12831,1573,58,722
17899,1572,49,627
9602,1569,67,518
14968,1568,73,472
20669,1568,56,653
12668,1566,60,818
11395,1565,73,421
19440,1564,48,842
23344,1564,75,432
10446,1554,97,174
15417,1553,42,877
32227,1552,23,581
14072,1549,34,668
14174,1548,42,380
18457,1547,55,386
22229,1546,55,541
13555,1542,74,549
16110,1541,54,721
17214,1540,43,492
28831,1539,62,647
27753,1538,105,264
14645,1538,58,926
11588,1535,68,613
17230,1534,62,615
15273,1532,56,732
15675,1532,47,688
14297,1532,52,486
21748,1526,54,669
14222,1526,50,543
13667,1524,38,546
11871,1523,58,482
12789,1522,42,626
15254,1517,47,841
15595,1517,42,663
12659,1516,43,818
36198,1515,35,972
14546,1515,38,378
47495,1512,52,418
14444,1511,49,793
11666,1511,42,786
14791,1510,59,479
4945,1509,27,129
18351,1509,56,623
16458,1508,26,772
27259,1504,53,545
55495,1503,66,964
13264,1500,95,507
50545,1496,81,267
14643,1495,98,632
11168,1494,45,565
37620,1492,96,332
20523,1489,58,672
14873,1489,72,620
17522,1487,36,711
1724,1488,0,6
6416,1484,6,68
15566,1485,38,554
18413,1482,86,621
13069,1481,79,663
18423,1480,46,684
32083,1480,64,409
22864,1479,27,297
13459,1478,23,708
11378,1478,48,468
18481,1473,108,510
18321,1471,66,597
15949,1471,36,601
20286,1471,68,664
22600,1470,45,547
1682,1468,0,6
15199,1467,83,617
14998,1464,43,609
20740,1462,47,512
17733,1461,61,633
19185,1461,123,593
42337,1460,11,234
12726,1458,35,636
19389,1457,44,513
48259,1456,16,199
24462,1454,60,831
23526,1452,68,418
11742,1452,74,675
16601,1452,63,632
11745,1452,53,393
43797,1448,36,715
18661,1448,34,267
13210,1446,43,633
5319,1447,8,118
17236,1443,70,369
9961,1443,123,225
14850,1443,59,741
16220,1442,27,441
15616,1441,18,608
15025,1440,20,607
11622,1438,74,1969
15766,1438,56,732
6034,1437,15,122
2477,1432,0,6
10918,1431,64,523
14702,1429,83,331
16106,1428,34,614
12723,1428,43,736
2811,1425,28,191
34321,1424,24,333
23838,1422,37,682
49253,1421,33,393
19296,1420,37,569
11837,1418,43,552
19673,1417,34,1268
5717,1417,19,121
14335,1417,49,493
12281,1417,93,386
12288,1417,54,411
12170,1412,62,725
1864,1412,1,6
47632,1411,35,205
24750,1409,39,479
13675,1409,42,852
16389,1404,61,642
21245,1401,47,899
11261,1396,35,117
8834,1397,45,484
16798,1395,83,306
12750,1395,48,540
19838,1392,13,119
17544,1390,24,586
17848,1390,54,403
17902,1386,32,792
32537,1386,75,485
15941,1385,43,792
10304,1381,13,194
7730,1380,60,172
13945,1379,38,785
13300,1378,68,661
8866,1378,60,523
13806,1378,26,704
13029,1377,58,722
14559,1376,34,582
8467,1374,32,525
8716,1373,55,592
14897,1372,68,551
15617,1365,34,463
14072,1364,79,478
13470,1363,45,527
28043,1362,27,339
22603,1362,91,2066
7480,1361,63,319
5360,1360,23,116
14663,1360,84,462
10569,1358,77,559
9640,1357,33,428
14240,1355,18,429
12640,1355,63,399
13902,1355,58,495
14128,1353,79,460
29185,1353,56,272
13500,1353,39,366
12467,1352,49,865
10617,1351,59,251
24384,1348,30,629
5759,1348,1,119
38757,1347,29,216
41148,1342,45,270
28184,1342,65,582
13165,1342,29,470
13347,1342,36,583
23134,1341,96,559
13723,1338,48,654
10235,1337,40,550
13710,1337,34,243
13302,1337,110,477
13402,1336,36,630
14610,1334,46,295
20780,1332,38,524
13260,1332,39,469
1590,1332,0,5
15775,1332,38,573
15347,1330,37,622
10527,1328,44,413
37672,1327,92,2558
11196,1327,79,497
12856,1325,50,795
12846,1325,65,546
34420,1324,48,270
18050,1325,58,604
13358,1322,27,718
13055,1321,89,515
12057,1321,58,351
17223,1321,82,596
12906,1320,48,1466
13559,1319,5,157
13099,1318,58,509
12293,1316,36,554
13344,1313,48,415
13442,1312,22,795
16187,1311,57,726
11689,1307,59,742
12006,1305,31,476
19619,1305,47,524
9795,1303,38,565
43340,1303,21,475
14271,1303,36,623
12474,1303,23,539
13554,1302,34,593
29226,1301,52,743
11780,1301,57,633
18398,1300,78,450
15022,1299,10,155
11309,1299,26,507
13111,1299,47,345
14570,1298,26,547
5560,1296,72,365
18332,1295,53,589
13878,1293,55,1103
13636,1293,56,538
21085,1292,92,1524
9606,1291,62,524
1484,1292,0,5
13841,1290,63,562
23413,1289,52,251
19466,1288,46,656
1555,1289,0,5
23419,1287,49,1002
18055,1287,34,517
14652,1285,64,375
13339,1284,40,658
13271,1284,54,534
8671,1284,48,957
1550,1283,0,5
13653,1283,47,584
11003,1282,71,484
19619,1281,61,460
8301,1280,34,400
6091,1277,10,191
11841,1277,35,535
36654,1276,29,442
12102,1276,57,288
9099,1274,137,1002
27654,1273,33,1146
5069,1273,7,58
25986,1273,58,337
10772,1272,50,549
15062,1270,57,952
11996,1270,40,725
19972,1269,33,663
10943,1267,102,562
11087,1267,48,499
8928,1266,73,245
19028,1265,65,401
14502,1265,31,446
12447,1262,47,393
18544,1262,46,810
11471,1260,36,647
15076,1259,36,434
13435,1258,51,548
1444,1259,0,5
11389,1255,49,635
18183,1253,29,638
9699,1253,56,353
10592,1253,59,623
15771,1251,102,485
17931,1251,21,425
13795,1251,61,324
16918,1252,44,586
12437,1250,34,586
6485,1252,4,36
1602,1250,0,5
21349,1249,57,601
17149,1248,30,372
