ID,projectID,projectName,field,duration,views,appreciations,comments,ownerID,ownerName,ownerDuration,ownerFollowings,ownerFollowers,ownerViews,ownerAppreciations,ownerComments,pic,color,,
22,26881899,Aura Water Pipe,Branding,1486,184094,7454,155,5348027,MauricioRomano,1934,648,6444,328705,18307,119,https://mir-s3-cdn-cf.behance.net/projects/404/72a09626881899.557290a633685.jpg,"[{'r': 244, 'g': 247, 'b': 248}]",,
23,13615991,BOLLA,Industrial Design,1999,32760,7250,37,2228421,Matteoo,2325,523,3262,167223,22957,43,https://mir-s3-cdn-cf.behance.net/projects/404/98e8cb13615991.Y3JvcCwxNTc3LDEyMzQsNTQwLDEwNA.jpg,"[{'r': 232, 'g': 232, 'b': 232}]",,
24,17153309,LAB.C Cable Case,Industrial Design,1862,79799,6903,211,4473255,younginkoh,2020,5,2593,96874,7662,1,https://mir-s3-cdn-cf.behance.net/projects/404/17153309.548c098de86bc.jpg,"[{'r': 255, 'g': 255, 'b': 254}]",,
25,32595493,Polygons vol. 2,Architecture,1272,29117,6673,108,261891,melkhiah,3149,322,37329,1560713,344961,28,https://mir-s3-cdn-cf.behance.net/projects/404/643f2f32595493.Y3JvcCwyNDQ3LDE5MTEsMCww.jpg,"[{'r': 19, 'g': 18, 'b': 19}]",,
26,22026795,Blackpack,Industrial Design,1661,69370,6655,244,4957913,williamroot,1973,40,4760,210594,14994,6,https://mir-s3-cdn-cf.behance.net/projects/404/22026795.548b419da2846.jpg,"[{'r': 164, 'g': 164, 'b': 165}]",,
27,27162073,Aperture Wrench,Industrial Design,1476,99380,6597,207,3288765,jordansteranka,2151,505,4586,331750,18315,9,https://mir-s3-cdn-cf.behance.net/projects/404/3f39ee27162073.Y3JvcCwyNzYxLDIxNjEsNzc3LDA.jpg,"[{'r': 38, 'g': 38, 'b': 38}]",,
28,56616085,WinPhone 95,UI/UX,650,66528,6439,358,187858,hperticarati,3286,185,1165,83455,7221,42,https://mir-s3-cdn-cf.behance.net/projects/404/b16cfe56616085.Y3JvcCwyNjk0LDIxMDksMCww.png,"[{'r': 17, 'g': 37, 'b': 44}]",,
29,7853819,Gigs 2 Go™,Industrial Design,2286,66309,6368,250,201726,BOLTGROUP-PRODUCT,3260,29,1213,107223,8410,1,https://mir-s3-cdn-cf.behance.net/projects/404/c04bc97853819.Y3JvcCw0MDQsMzE2LDAsMA.jpg,"[{'r': 119, 'g': 88, 'b': 69}]",,
30,12442779,Lumbürr co.,Art Direction,2025,76709,6201,361,221515,benjohnston,3231,530,79926,1440750,130270,841,https://mir-s3-cdn-cf.behance.net/projects/404/12442779.5482d1aa1fd5b.png,"[{'r': 229, 'g': 96, 'b': 18}]",,
31,9025739,WORKNEST,Furniture Design,2222,82638,6143,248,754999,wiktoriagolebiewicz,2784,167,5742,162888,11911,164,https://mir-s3-cdn-cf.behance.net/projects/404/9025739.547a5ad880736.jpg,"[{'r': 213, 'g': 211, 'b': 209}]",,
32,35449845,Free Book Mockup - Psd Smart Object,Branding,1191,132202,6142,91,136967,blugraphic,3484,2169,30277,3795317,188511,508,https://mir-s3-cdn-cf.behance.net/projects/404/f7295a35449845.Y3JvcCwxMDIxLDc5OSw4Myww.jpg,"[{'r': 229, 'g': 230, 'b': 230}]",,
33,62396437,C L A S S I C . typeface,Graphic Design,490,56533,6136,213,2496123,wqxnc,2276,185,4840,120529,12530,11,https://mir-s3-cdn-cf.behance.net/projects/404/25964862396437.Y3JvcCwxNDAzLDEwOTgsMCwzMQ.jpg,"[{'r': 206, 'g': 198, 'b': 177}]",,
34,37327299,Orrery — concept art for movie titles,Art Direction,1007,36788,6074,135,261891,melkhiah,3149,322,37329,1560713,344961,28,https://mir-s3-cdn-cf.behance.net/projects/404/a8367a37327299.Y3JvcCwxNDc3LDExNTYsNjA1LDEzMQ.jpg,"[{'r': 39, 'g': 28, 'b': 22}]",,
35,6700453,Maple Set,Industrial Design,2356,63121,5997,206,2061425,federaldesignhouse,2360,39,2584,109504,8293,7,https://mir-s3-cdn-cf.behance.net/projects/404/6700453.546df6e2bc1f6.jpg,"[{'r': 151, 'g': 112, 'b': 90}]",,
36,17318269,PIGEON_kick scooter,Industrial Design,1856,66580,5886,230,1987523,ignasurvila,2380,728,3707,131553,10710,170,https://mir-s3-cdn-cf.behance.net/projects/404/17318269.548c472bc85cc.jpg,"[{'r': 89, 'g': 93, 'b': 87}]",,
37,37232149,Zero Per Stool,Furniture Design,1141,59518,5879,176,10262897,jangwon,1663,471,3932,209972,17583,264,https://mir-s3-cdn-cf.behance.net/projects/404/a407ed37232149.Y3JvcCw0MDUwMCwzMTcwMCwwLDA.jpg,"[{'r': 214, 'g': 209, 'b': 199}]",,
38,14348851,Prism,Furniture Design,1965,65658,5733,161,970299,nickbaker,2679,363,6763,213974,19034,50,https://mir-s3-cdn-cf.behance.net/projects/404/14348851.5485622f3263f.jpg,"[{'r': 232, 'g': 232, 'b': 233}]",,
39,25909331,Casa de L Cura,Art Direction,1252,85312,5710,369,176150,unitedby,3309,472,5733,447227,30603,406,https://mir-s3-cdn-cf.behance.net/projects/404/e08ebf25909331.55478a7757bf8.png,"[{'r': 40, 'g': 33, 'b': 33}]",,
40,49372043,Cubes,Industrial Design,854,59279,5623,75,261891,melkhiah,3149,322,37329,1560713,344961,28,https://mir-s3-cdn-cf.behance.net/projects/404/f7662f49372043.Y3JvcCw2NDIsNTAzLDM3NCwyNjY.jpg,"[{'r': 34, 'g': 31, 'b': 27}]",,
41,446201,Flow lamps - public lighting everywhere,Industrial Design,3401,84869,5603,155,155835,vasquez,3405,849,3926,286975,35900,28,https://mir-s3-cdn-cf.behance.net/projects/404/446201.543d93bd1bb97.jpg,"[{'r': 11, 'g': 11, 'b': 12}]",,
42,42386173,Tran Dang Khoa Picture Book,Illustration,933,56559,5566,252,43429961,vuonillustration,1044,94,9681,332500,30879,51,https://mir-s3-cdn-cf.behance.net/projects/404/43912242386173.Y3JvcCw2MDEsNDcwLDAsMA.png,"[{'r': 16, 'g': 44, 'b': 33}]",,
43,6202553,nCycle Concept,Automotive Design,2378,70415,5542,263,119227,Skyrill,3607,662,3561,388615,25011,268,https://mir-s3-cdn-cf.behance.net/projects/404/6202553.546b5004e2ee4.jpg,"[{'r': 11, 'g': 37, 'b': 48}]",,
44,11173547,ДРОВА /FIREWOOD VODKA,Branding,2101,57952,5517,262,1023937,bolimond,2656,499,20127,996149,94455,1704,https://mir-s3-cdn-cf.behance.net/projects/404/11173547.548104c29452c.png,"[{'r': 0, 'g': 0, 'b': 0}]",,
45,56512353,Dex Book - concept,Industrial Design,658,45615,5492,286,10037601,andryu,1675,23,6080,172534,15987,158,https://mir-s3-cdn-cf.behance.net/projects/404/3f73ff56512353.Y3JvcCwyMzA3LDE4MDQsOTg4LDY0NQ.jpg,"[{'r': 215, 'g': 215, 'b': 215}]",,
46,37932461,TRUCK FOR AUDI,Automotive Design,1118,75432,5447,312,4302823,smartyom,2038,62,11109,339155,27327,200,https://mir-s3-cdn-cf.behance.net/projects/404/0f733137932461.Y3JvcCw4NTgsNjcxLDI3OCwzNA.jpg,"[{'r': 24, 'g': 31, 'b': 39}]",,
47,4562407,Time Machine,Digital Art,2539,41294,5386,262,158872,AleksCG,3389,8186,27471,797823,104003,56,https://mir-s3-cdn-cf.behance.net/projects/404/29508e4562407.Y3JvcCw5MjYsNzI0LDE4OCw1OQ.jpg,"[{'r': 244, 'g': 247, 'b': 237}]",,
48,7537211,Tron: Legacy | Light Runner Design by Daniel Simon,Automotive Design,2303,67491,5340,208,2334457,danielsimonstudio,2304,32,15736,189730,13001,20,https://mir-s3-cdn-cf.behance.net/projects/404/7537211.547273ea2689f.jpg,"[{'r': 20, 'g': 83, 'b': 102}]",,
49,52981873,Redesign for 'Play Station 1',Industrial Design,769,43213,5311,200,29995029,pdfdesigner,1204,194,7941,420209,35105,104,https://mir-s3-cdn-cf.behance.net/projects/404/cd70bf52981873.Y3JvcCwxNzQ3LDEzNjcsMjEsMA.jpg,"[{'r': 211, 'g': 211, 'b': 212}]",,
